p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct
1.0,1362624451,24088,u:i240,en,es,02f223d35274044da61fd6ed8a1729ab,turtles/turtle<n><pl>,3,3,1,1
1.0,1362355160,634094,u:ixqv,en,pt,0a7ad985b6b19b5cfb4723f207220a3d,they/prpers<prn><subj><p3><mf><pl>,5,5,3,3
1.0,1362927423,348290,u:h8uQ,en,pt,a1cd4d1203516423ddad398d8fc237e5,interesting/interesting<adj>,3,3,2,2
0.5,1362343839,108714,u:iOTw,fr,en,03a546003e03b545a6d419b6620b3749,la/le<det><def><f><sg>,7,6,2,1
1.0,1362181036,203,u:cazS,en,es,a826c47947d68549fa81e19cafa57ba0,eat/eat<vblex><pres>,25,24,1,1
1.0,1362433167,560674,u:ivG8,de,en,ccacc503fbab964215a09975ded9052f,dem/der<det><def><m><sg><dat>,5,4,3,3
1.0,1362529651,543,u:iWM-,en,es,b573a2ebb834b1346202143003738756,girls/girl<n><pl>,7,7,1,1
1.0,1363065289,656,u:e_UO,pt,en,a41105356f326ae1a5d1d499f798d4e4,bife/bife<n><m><sg>,2,2,1,1
0.0,1362792417,46,u:b_d_,fr,en,26f6b357718b150404303812a222e348,robe/robe<n><f><sg>,17,17,1,0
0.0,1363078044,7664718,u:cFWG,es,en,054903803bb88ffb3805660afbca42df,largo/largo<adj><m><sg>,3,3,1,0
1.0,1362442528,365,u:hHFX,es,en,33b0e1ddffd7f88532895500640817ee,comes/comer<vblex><pri><p2><sg>,13,13,2,2
1.0,1362867841,3540478,u:eFXr,en,es,165dc4d4b42c9d825cb913541fdd09a7,juice/juice<n><sg>,18,17,1,1
1.0,1362513140,31850,u:c3Dc,es,en,b69958573762710ebf427700e6ae97be,faldas/falda<n><f><pl>,8,6,4,4
1.0,1362319377,330985,u:hbg3,fr,en,ff5d64dc9c3944ecc01653ca661888df,propre/propre<adj><mf><sg>,17,17,1,1
1.0,1362707711,431,u:f_7r,de,en,cee314fa43551daf3690bb5cdda0bf23,lerne/lernen<vblex><pri><p1><sg>,3,3,1,1
1.0,1363031033,194158,u:i-Eh,it,en,e9c14cfc0fe740fb834cefa163199f7c,gli/il<det><def><m><pl>,4,3,1,1
0.75,1362456433,507,u:iN-Q,de,en,4fcb6bb8e44d7b618999721071862827,mädchen/mädchen<n><nt><sg><nom>,2,1,4,3
1.0,1362138168,698,u:dBJL,es,en,d0705eafec00822b93bf9cc9a9189bba,zapato/zapato<n><m><sg>,3,2,1,1
1.0,1362434031,347565,u:hPai,es,en,fd1033c61c9beca7a8bc633e42924a6f,negro/negro<adj><m><sg>,6,4,2,2
1.0,1363057504,1047,u:g2uu,en,es,797df85fa241f274d166630d082e6db3,apples/apple<n><pl>,23,23,1,1
1.0,1362527887,2788640,u:oMO,en,es,8ff2cb6e53d098a8c3d975e212d2efaf,ask/ask<vblex><inf><@future_phrasal>,18,12,1,1
1.0,1362500455,10133167,u:dvnC,en,es,f6046c6b9b9cf8aa728d386c7e6100f5,pay/pay<vblex><pres>,3,3,1,1
1.0,1362192596,304,u:iFHJ,en,es,961323e510456613053547d6acee68aa,<*sf>/skirt<n><*numb>,2,2,1,1
1.0,1362252986,493,u:hmkX,en,it,c52ab45d4e22ee7580041911159e3c0c,water/water<n><sg>,33,32,3,3
1.0,1362159854,536239,u:esmw,en,pt,10d3dc20f81948acd1096580922dac80,after/after<pr>,2,2,1,1
1.0,1362531346,167794,u:h0UL,en,es,e481b16fe0c80f787fc7cdd4279ea732,listen/listen<vblex><inf>,4,2,1,1
0.857142857143,1362524066,195912,u:iAzU,en,es,6e1c0e08775739d1199b562cd3a2e738,children/child<n><pl>,6,5,7,6
1.0,1362667826,7429685,u:b8gI,es,en,949dcde4140ed63db24a73573f6ce7ea,gato/gato<n><m><sg>,7,6,1,1
1.0,1363103628,3416963,u:gBx_,fr,en,5c2c879342c029c7be610695abb15bd5,lit/lire<vblex><pri><p3><sg>,9,9,1,1
